"","time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","coords"
"74","2016-07-28T11:38:39Z",NA,NA,"76.646.473","24.000.000","0",0,9,"gps","NA:NA"
"75","2016-07-28T11:39:18Z",NA,NA,"59.304.756","16.000.000","105.042.343",1.793063,3,"gps","NA:NA"
"76","2016-07-28T11:39:43Z",NA,NA,"93.111.050","24.000.000","0",0.589869,0,"gps","NA:NA"
"77","2016-07-28T11:40:02Z",NA,NA,"59.854.899","8.000.000","96.238.983",11.452042,10,"gps","NA:NA"
"78","2016-07-28T11:40:18Z",NA,NA,"15.858.113","32.000.000","0",1.313236,0,"gps","NA:NA"
"79","2016-07-28T11:40:32Z",NA,NA,"45.753.622","24.000.000","103.767.868",0,9,"gps","NA:NA"
"80","2016-07-28T11:40:46Z",NA,NA,"43.119.574","16.000.000","98.358.635",5.267047,10,"gps","NA:NA"
"81","2016-07-28T11:40:57Z",NA,NA,"49.211.877","16.000.000","11.998.997",8.981562,10,"gps","NA:NA"
"82","2016-07-28T11:41:12Z",NA,NA,"63.951.173","16.000.000","22.010.801",5.427859,12,"gps","NA:NA"
"83","2016-07-28T11:41:23Z",NA,NA,"76.122.850","8.000.000","98.776.970",9.201999,10,"gps","NA:NA"
"84","2016-07-28T11:41:39Z",NA,NA,"63.995.167","12.000.000","97.925.209",14.605648,8,"gps","NA:NA"
"85","2016-07-28T11:41:56Z",NA,NA,"63.936.860","16.000.000","100.750.504",12.509685,9,"gps","NA:NA"
"86","2016-07-28T11:42:07Z",NA,NA,"60.163.112","16.000.000","97.754.585",10.574689,9,"gps","NA:NA"
"87","2016-07-28T11:42:18Z",NA,NA,"57.299.587","8.000.000","139.625.427",4.599447,12,"gps","NA:NA"
"88","2016-07-28T11:42:45Z",NA,NA,"164.672.043","24.000.000","8.199.828",10.442137,0,"gps","NA:NA"
"89","2016-07-28T11:42:55Z",NA,NA,"78.817.117","8.000.000","9.472.114",8.981614,11,"gps","NA:NA"
"90","2016-07-28T11:43:21Z",NA,NA,"38.372.925","6.000.000","0",1.817077,0,"gps","NA:NA"
"91","2016-07-28T11:43:44Z",NA,NA,"130.090.925","24.000.000","12.728.148",7.341393,0,"gps","NA:NA"
"92","2016-07-28T11:43:55Z",NA,NA,"85.116.013","12.000.000","26.829.561",9.439786,12,"gps","NA:NA"
"93","2016-07-28T11:44:05Z",NA,NA,"80.053.263","12.000.000","32.128.082",0,13,"gps","NA:NA"
"94","2016-07-28T11:44:16Z",NA,NA,"73.399.879","24.000.000","32.128.082",0,10,"gps","NA:NA"
"95","2016-07-28T11:44:27Z",NA,NA,"80.543.141","6.000.000","319.228.088",5.883156,11,"gps","NA:NA"
"96","2016-07-28T11:44:37Z",NA,NA,"81.883.048","16.000.000","320.642.822",0.017668,10,"gps","NA:NA"
"97","2016-07-28T11:45:16Z",NA,NA,"87.855.031","12.000.000","315.748.352",12.974738,0,"gps","NA:NA"
"98","2016-07-28T11:45:34Z",NA,NA,"79.473.218","16.000.000","316.231.415",16.317558,7,"gps","NA:NA"
"99","2016-07-28T11:45:45Z",NA,NA,"60.608.781","12.000.000","314.356.812",14.799277,8,"gps","NA:NA"
"100","2016-07-28T11:45:56Z",NA,NA,"68.936.197","24.000.000","317.727.295",12.151546,7,"gps","NA:NA"
"101","2016-07-28T11:46:30Z",NA,NA,"99.181.204","32.000.000","316.840.485",14.830092,8,"gps","NA:NA"
"102","2016-07-28T11:46:41Z",NA,NA,"74.788.360","32.000.000","323.732.819",13.084769,8,"gps","NA:NA"
"103","2016-07-28T11:46:52Z",NA,NA,"80.356.411","16.000.000","337.037.964",12.699968,11,"gps","NA:NA"
"104","2016-07-28T11:47:08Z",NA,NA,"82.310.788","24.000.000","23.504.023",10.50703,10,"gps","NA:NA"
"105","2016-07-28T11:47:19Z",NA,NA,"68.312.249","12.000.000","18.612.844",9.350329,9,"gps","NA:NA"
"106","2016-07-28T11:47:56Z",NA,NA,"62.337.497","16.000.000","14.030.805",9.320691,8,"gps","NA:NA"
"107","2016-07-28T11:48:14Z",NA,NA,"101.422.916","16.000.000","15.953.669",0,9,"gps","NA:NA"
"108","2016-07-28T11:48:25Z",NA,NA,"102.282.082","16.000.000","284.833.466",2.82967,8,"gps","NA:NA"
"109","2016-07-28T11:48:39Z",NA,NA,"99.944.434","12.000.000","280.249.603",0,8,"gps","NA:NA"
"110","2016-07-28T11:48:53Z",NA,NA,"97.772.703","12.000.000","161.174.576",0.830356,8,"gps","NA:NA"
"111","2016-07-28T11:49:14Z",NA,NA,"83.973.977","24.000.000","91.593.002",1.245783,0,"gps","NA:NA"
"112","2016-07-28T11:49:41Z",NA,NA,"62.563.735","24.000.000","139.811.935",1.457381,0,"gps","NA:NA"
"113","2016-07-28T11:49:51Z",NA,NA,"74.414.130","6.000.000","0",0.860668,14,"gps","NA:NA"
"114","2016-07-28T11:50:35Z",NA,NA,"69.846.164","8.000.000","0",0,4,"gps","NA:NA"
"115","2016-07-28T11:50:45Z",NA,NA,"83.485.036","6.000.000","0",0.709293,5,"gps","NA:NA"
"116","2016-07-28T12:37:41Z",NA,NA,"75.251.853","8.000.000","0",0,0,"gps","NA:NA"
"117","2016-07-28T12:37:52Z",NA,NA,"69.333.702","6.000.000","0",0,12,"gps","NA:NA"
"118","2016-07-28T12:38:03Z",NA,NA,"69.313.164","8.000.000","0",0,12,"gps","NA:NA"
"119","2016-07-28T12:38:14Z",NA,NA,"55.011.623","16.000.000","0",0,0,"gps","NA:NA"
"120","2016-07-28T12:38:36Z",NA,NA,"98.092.749","32.000.000","0",0.894354,7,"gps","NA:NA"
"121","2016-07-28T12:38:47Z",NA,NA,"74.079.727","12.000.000","198.549.942",5.289594,12,"gps","NA:NA"
"122","2016-07-28T12:39:03Z",NA,NA,"62.998.429","8.000.000","195.827.377",8.063681,12,"gps","NA:NA"
"123","2016-07-28T12:39:18Z",NA,NA,"44.940.272","16.000.000","199.553.589",7.857609,0,"gps","NA:NA"
"124","2016-07-28T12:39:28Z",NA,NA,"58.552.356","12.000.000","205.409.546",9.073521,12,"gps","NA:NA"
"125","2016-07-28T12:39:46Z",NA,NA,"76.658.969","6.000.000","236.356.842",8.753944,12,"gps","NA:NA"
"126","2016-07-28T12:39:56Z",NA,NA,"74.488.128","6.000.000","189.470.062",6.713083,12,"gps","NA:NA"
"127","2016-07-28T12:40:07Z",NA,NA,"72.863.368","8.000.000","191.619.339",6.98008,11,"gps","NA:NA"
"128","2016-07-28T12:40:22Z",NA,NA,"71.894.672","16.000.000","202.706.238",0,12,"gps","NA:NA"
"129","2016-07-28T12:41:04Z",NA,NA,"83.515.531","8.000.000","189.973.953",0,11,"gps","NA:NA"
"130","2016-07-28T12:41:39Z",NA,NA,"77.573.287","8.000.000","188.296.234",9.427123,6,"gps","NA:NA"
"131","2016-07-28T12:41:57Z",NA,NA,"75.322.338","6.000.000","189.421.646",6.858673,11,"gps","NA:NA"
"132","2016-07-28T12:42:08Z",NA,NA,"78.864.866","8.000.000","207.397.568",4.934111,12,"gps","NA:NA"
"133","2016-07-28T12:42:23Z",NA,NA,"71.926.140","16.000.000","0",0.836327,10,"gps","NA:NA"
"134","2016-07-28T12:43:06Z",NA,NA,"67.947.666","6.000.000","173.115.067",8.25422,10,"gps","NA:NA"
"135","2016-07-28T12:43:17Z",NA,NA,"67.861.934","6.000.000","173.231.659",4.026441,11,"gps","NA:NA"
"136","2016-07-28T12:44:30Z",NA,NA,"74.698.275","24.000.000","0",1.259815,4,"gps","NA:NA"
"137","2016-07-28T12:44:55Z",NA,NA,"115.352.692","24.000.000","0",0,9,"gps","NA:NA"
"138","2016-07-28T12:45:20Z",NA,NA,"70.111.088","12.000.000","262.620.728",9.454682,8,"gps","NA:NA"
"139","2016-07-28T12:45:37Z",NA,NA,"63.342.374","24.000.000","257.682.495",9.092748,0,"gps","NA:NA"
"140","2016-07-28T12:45:48Z",NA,NA,"50.023.495","32.000.000","264.110.779",9.670137,9,"gps","NA:NA"
"141","2016-07-28T12:46:04Z",NA,NA,"73.692.243","8.000.000","240.991.608",2.733314,11,"gps","NA:NA"
"142","2016-07-28T12:46:55Z",NA,NA,"102.874.808","12.000.000","224.675.720",9.949821,5,"gps","NA:NA"
"143","2016-07-28T12:47:14Z",NA,NA,"57.818.328","8.000.000","224.174.911",11.189558,7,"gps","NA:NA"
"144","2016-07-28T12:47:32Z",NA,NA,"61.197.840","8.000.000","225.931.763",9.472398,12,"gps","NA:NA"
"145","2016-07-28T12:47:49Z",NA,NA,"57.982.862","8.000.000","219.967.896",5.703544,11,"gps","NA:NA"
"146","2016-07-28T12:48:00Z",NA,NA,"58.029.132","6.000.000","220.357.864",0,14,"gps","NA:NA"
"147","2016-07-28T12:48:15Z",NA,NA,"58.352.626","6.000.000","220.357.864",0,14,"gps","NA:NA"
"148","2016-07-28T12:48:49Z",NA,NA,"76.703.787","6.000.000","149.537.827",0,14,"gps","NA:NA"
"149","2016-07-28T12:49:23Z",NA,NA,"67.263.278","8.000.000","172.281.967",11.577083,10,"gps","NA:NA"
"150","2016-07-28T12:49:34Z",NA,NA,"61.812.189","8.000.000","174.381.714",11.773915,10,"gps","NA:NA"
"151","2016-07-28T12:50:12Z",NA,NA,"86.149.326","16.000.000","158.531.952",7.966151,0,"gps","NA:NA"
"152","2016-07-28T12:50:36Z",NA,NA,"95.587.914","24.000.000","159.861.649",5.754361,0,"gps","NA:NA"
"153","2016-07-28T12:50:50Z",NA,NA,"43.718.810","8.000.000","181.696.396",7.277488,9,"gps","NA:NA"
"154","2016-07-28T12:51:09Z",NA,NA,"65.965.375","6.000.000","196.482.285",6.188009,9,"gps","NA:NA"
"155","2016-07-28T12:51:25Z",NA,NA,"66.265.125","6.000.000","198.255.768",0,12,"gps","NA:NA"
"156","2016-07-28T12:51:36Z",NA,NA,"66.131.386","4.000.000","198.255.768",0,12,"gps","NA:NA"
"157","2016-07-28T12:51:52Z",NA,NA,"61.353.482","12.000.000","186.060.562",4.318826,11,"gps","NA:NA"
"158","2016-07-28T12:52:07Z",NA,NA,"55.381.789","8.000.000","221.759.384",5.437226,12,"gps","NA:NA"
"159","2016-07-28T12:52:18Z",NA,NA,"54.877.356","16.000.000","309.786.835",4.795629,12,"gps","NA:NA"
"160","2016-07-28T12:52:33Z",NA,NA,"55.448.248","8.000.000","290.348.907",3.491418,12,"gps","NA:NA"
"161","2016-07-28T12:52:52Z",NA,NA,"56.360.584","6.000.000","184.600.922",10.00979,11,"gps","NA:NA"
"162","2016-07-28T12:53:10Z",NA,NA,"57.984.643","6.000.000","151.370.270",0,10,"gps","NA:NA"
"163","2016-07-28T12:53:51Z",NA,NA,"18.100.160","16.000.000","139.212.936",7.693666,0,"gps","NA:NA"
"164","2016-07-28T12:54:19Z",NA,NA,"78.843.817","12.000.000","0",0,8,"gps","NA:NA"
"165","2016-07-28T12:54:30Z",NA,NA,"48.937.314","12.000.000","148.848.755",6.577582,8,"gps","NA:NA"
"166","2016-07-28T12:54:41Z",NA,NA,"71.403.856","16.000.000","203.820.267",1.827859,0,"gps","NA:NA"
"167","2016-07-28T12:54:54Z",NA,NA,"65.956.559","6.000.000","231.152.542",8.550066,7,"gps","NA:NA"
"168","2016-07-28T12:55:29Z",NA,NA,"66.848.242","6.000.000","141.932.770",7.555714,11,"gps","NA:NA"
"169","2016-07-28T12:55:47Z",NA,NA,"46.602.959","8.000.000","142.179.901",0,11,"gps","NA:NA"
"170","2016-07-28T12:56:27Z",NA,NA,"60.053.691","12.000.000","140.008.423",7.678971,6,"gps","NA:NA"
"171","2016-07-28T12:56:37Z",NA,NA,"42.311.315","12.000.000","137.689.774",6.342289,8,"gps","NA:NA"
"172","2016-07-28T12:57:16Z",NA,NA,"81.958.482","6.000.000","0",0,8,"gps","NA:NA"
"173","2016-07-28T12:57:59Z",NA,NA,"74.202.944","12.000.000","337.344.574",1.635269,0,"gps","NA:NA"
"174","2016-07-28T12:58:13Z",NA,NA,"68.698.611","8.000.000","0",0,12,"gps","NA:NA"
"175","2016-07-28T12:58:24Z",NA,NA,"74.007.769","6.000.000","320.309.418",0,12,"gps","NA:NA"
"176","2016-07-28T12:58:39Z",NA,NA,"78.451.006","8.000.000","317.291.626",1.27423,15,"gps","NA:NA"
"177","2016-07-28T12:58:50Z",NA,NA,"77.027.747","16.000.000","301.415.222",1.409685,14,"gps","NA:NA"
"178","2016-07-28T12:59:01Z",NA,NA,"73.818.069","12.000.000","305.791.565",1.345463,13,"gps","NA:NA"
"179","2016-07-28T12:59:16Z",NA,NA,"69.757.727","8.000.000","331.970.398",1.273152,13,"gps","NA:NA"
"180","2016-07-28T12:59:27Z",NA,NA,"68.752.180","12.000.000","337.129.700",1.194525,14,"gps","NA:NA"
"181","2016-07-28T12:59:39Z",NA,NA,"67.517.892","16.000.000","329.002.075",1.1586,14,"gps","NA:NA"
"182","2016-07-28T12:59:56Z",NA,NA,"66.251.766","12.000.000","330.210.327",1.377066,14,"gps","NA:NA"
"183","2016-07-28T13:00:15Z",NA,NA,"64.349.301","24.000.000","302.720.795",1.336771,12,"gps","NA:NA"
"184","2016-07-28T13:00:26Z",NA,NA,"63.364.542","16.000.000","44.862.869",1.193547,13,"gps","NA:NA"
"185","2016-07-28T13:00:41Z",NA,NA,"60.351.461","24.000.000","68.981.628",1.362277,14,"gps","NA:NA"
"186","2016-07-28T13:00:52Z",NA,NA,"62.661.620","24.000.000","314.029.175",1.260308,11,"gps","NA:NA"
"187","2016-07-28T13:07:58Z",NA,NA,"55.615.353","24.000.000","168.493.500",0.995593,3,"gps","NA:NA"
"188","2016-07-28T13:08:09Z",NA,NA,"49.415.275","16.000.000","0",0,4,"gps","NA:NA"
"189","2016-07-28T13:08:19Z",NA,NA,"55.075.385","8.000.000","0",1.15592,13,"gps","NA:NA"
"190","2016-07-28T13:08:34Z",NA,NA,"55.748.109","16.000.000","150.284.225",1.641501,11,"gps","NA:NA"
"191","2016-07-28T13:08:45Z",NA,NA,"56.860.258","16.000.000","141.020.645",1.496032,11,"gps","NA:NA"
"192","2016-07-28T13:08:57Z",NA,NA,"57.721.253","12.000.000","159.156.235",1.515425,14,"gps","NA:NA"
"193","2016-07-28T13:09:08Z",NA,NA,"58.367.785","16.000.000","138.879.929",1.612757,13,"gps","NA:NA"
"194","2016-07-28T13:09:23Z",NA,NA,"58.970.174","8.000.000","24.187.000",1.434024,10,"gps","NA:NA"
"195","2016-07-28T13:09:35Z",NA,NA,"58.905.562","32.000.000","351.291.840",0.16226,10,"gps","NA:NA"
"196","2016-07-28T13:09:52Z",NA,NA,"45.881.700","12.000.000","117.942.337",0.352818,14,"gps","NA:NA"
"197","2016-07-28T13:10:03Z",NA,NA,"26.439.138","24.000.000","164.439.560",0.703148,10,"gps","NA:NA"
"198","2016-07-28T13:25:23Z",NA,NA,"28.815.728","24.000.000","0",0,0,"gps","NA:NA"
"199","2016-07-28T13:25:42Z",NA,NA,"48.285.626","8.000.000","0",0,7,"gps","NA:NA"
"200","2016-07-28T13:25:59Z",NA,NA,"30.207.404","16.000.000","0",0,8,"gps","NA:NA"
"201","2016-07-28T13:26:25Z",NA,NA,"28.785.223","16.000.000","0",0,4,"gps","NA:NA"
"202","2016-07-28T13:26:37Z",NA,NA,"32.039.182","24.000.000","0",0,8,"gps","NA:NA"
"203","2016-07-28T13:27:21Z",NA,NA,"47.036.491","24.000.000","0",0,7,"gps","NA:NA"
"204","2016-07-28T13:27:31Z",NA,NA,"39.536.140","24.000.000","0",0,8,"gps","NA:NA"
"205","2016-07-28T13:27:42Z",NA,NA,"43.136.441","16.000.000","0",0,11,"gps","NA:NA"
"206","2016-07-28T13:28:43Z",NA,NA,"14.482.220","32.000.000","0",0,8,"gps","NA:NA"
"207","2016-07-28T13:28:54Z",NA,NA,"21.758.590","32.000.000","0",0,8,"gps","NA:NA"
"208","2016-07-28T13:30:11Z",NA,NA,"43.139.121","32.000.000","0",0,6,"gps","NA:NA"
"209","2016-07-28T13:31:40Z",NA,NA,"82.348.332","32.000.000","0",0.133681,8,"gps","NA:NA"
"210","2016-07-28T13:33:10Z",NA,NA,"79.056.003","24.000.000","0",0,5,"gps","NA:NA"
"211","2016-07-28T13:33:56Z",NA,NA,"79.101.692","16.000.000","0",0,4,"gps","NA:NA"
"212","2016-07-28T13:34:06Z",NA,NA,"73.982.735","24.000.000","0",0,6,"gps","NA:NA"
"213","2016-07-28T13:35:27Z",NA,NA,"78.436.662","32.000.000","0",0,5,"gps","NA:NA"
"214","2016-07-28T13:35:57Z",NA,NA,"72.234.060","32.000.000","171.685.623",0.165329,6,"gps","NA:NA"
"215","2016-07-28T13:36:21Z",NA,NA,"42.447.666","32.000.000","135.428.589",0.513579,7,"gps","NA:NA"
"216","2016-07-28T16:06:42Z",NA,NA,"87.406.140","16.000.000","122.291.298",1.169642,0,"gps","NA:NA"
"217","2016-07-28T16:08:39Z",NA,NA,"95.361.847","16.000.000","138.054.184",0.458846,0,"gps","NA:NA"
"218","2016-07-28T16:08:50Z",NA,NA,"68.059.487","12.000.000","320.766.205",1.360441,11,"gps","NA:NA"
"219","2016-07-28T16:09:01Z",NA,NA,"52.333.276","8.000.000","34.735.607",1.783718,8,"gps","NA:NA"
"220","2016-07-28T16:09:12Z",NA,NA,"59.422.807","4.000.000","0",0,13,"gps","NA:NA"
"221","2016-07-28T16:09:23Z",NA,NA,"60.427.773","6.000.000","33.452.938",1.195104,12,"gps","NA:NA"
"222","2016-07-28T16:09:38Z",NA,NA,"55.991.078","6.000.000","48.565.815",0.884873,13,"gps","NA:NA"
"223","2016-07-28T16:09:55Z",NA,NA,"57.492.897","6.000.000","25.829.144",1.197379,13,"gps","NA:NA"
"224","2016-07-28T16:10:05Z",NA,NA,"57.766.599","6.000.000","13.583.737",1.333495,13,"gps","NA:NA"
"225","2016-07-28T16:10:24Z",NA,NA,"58.421.814","6.000.000","24.179.173",1.232182,13,"gps","NA:NA"
"226","2016-07-28T16:10:36Z",NA,NA,"49.601.063","12.000.000","232.666.321",0.048597,13,"gps","NA:NA"
"227","2016-07-28T16:10:47Z",NA,NA,"38.894.443","12.000.000","5.574.875",1.027854,8,"gps","NA:NA"
"228","2016-07-28T16:10:58Z",NA,NA,"47.204.874","6.000.000","21.468.224",0.465383,13,"gps","NA:NA"
"229","2016-07-28T16:11:09Z",NA,NA,"66.071.773","16.000.000","6.201.638",0.91875,8,"gps","NA:NA"
"230","2016-07-28T16:11:20Z",NA,NA,"60.050.357","24.000.000","11.833.333",1.270447,8,"gps","NA:NA"
"231","2016-07-28T16:11:39Z",NA,NA,"56.034.160","4.000.000","21.557.720",1.386342,13,"gps","NA:NA"
"232","2016-07-28T16:11:50Z",NA,NA,"58.097.667","16.000.000","27.177.357",1.349226,8,"gps","NA:NA"
"233","2016-07-28T16:12:08Z",NA,NA,"59.691.835","4.000.000","12.590.974",1.160081,13,"gps","NA:NA"
